TT,CT,PA,RA,ECP1,ECP2,ECP3,ECP4,ECP5,FR,DR,GP,SV,LTV,LHV,fine sand-1,silty clay-1,silty clay-2,silty clay-3,AS
85163,5,15.7,-0.4,2.787,2.846,3.868,3.028,4.329,2177.373,1474.79,5.112,4,23,-18,5.04,1.85,7.01,0,18
85320,5,15.7,-0.4,2.759,2.814,3.881,3.014,4.298,2356.879,2808.304,4.047,6,24,-19,5.04,1.85,7.01,0,18
86453,6,15.9,-0.2,2.771,2.834,4.055,3.013,4.322,2410.807,2060.276,4.855,5,24,-19,5.04,1.85,7.01,0,17
85449,5,15.3,0,2.778,2.845,3.964,3.029,4.326,2329.282,2277.76,4.156,3,23,-20,5.04,1.85,7.01,0,17
84863,6,15.7,-0.2,2.742,2.771,3.89,2.992,4.262,2402.959,3150.354,4.377,-1,23,-20,5.04,1.85,7.01,0,18
86171,6,15.9,0,2.756,2.807,3.849,3.02,4.268,2357.259,2092.556,5.475,5,23,-19,5.04,1.85,7.01,0,19
87149,6,16,0.2,2.809,2.856,3.977,3.078,4.311,2377.387,2972.873,4.557,6,24,-20,5.04,1.85,7.01,0,17
86181,6,15.5,0.4,2.777,2.828,3.966,3.067,4.291,2397.009,2326.75,5.485,0,24,-20,5.04,1.85,7.01,0,19
85079,6,15.3,0.5,2.791,2.85,4.076,3.055,4.283,2395.616,3023.003,4.769,3,24,-20,5.04,1.85,7.01,0,20
77582,6,15,0.5,2.662,2.548,3.383,3.085,3.955,2090.531,2211.426,5.063,7,25,-16,5.04,1.85,7.01,0,16
76206,6,14.8,0.5,2.59,2.462,3.45,3.053,3.914,2115.343,2190.538,5.337,19,25,-13,5.04,1.85,7.01,0,16
74611,5,15,0.7,2.544,2.393,3.417,3.014,3.842,2206.742,2223.705,6.398,1,27,-16,5.04,1.85,7.01,0,16
75120,6,14.8,0.7,2.516,2.356,3.54,3.002,3.818,2206.615,2729.185,4.631,-1,27,-15,5.04,1.85,7.01,0,16
76574,5,15,0.7,2.521,2.382,3.417,3.012,3.819,2192.184,2213.451,4.043,7,29,-14,5.04,1.85,7.01,0,15
77267,6,15,0.7,2.508,2.398,3.414,3.021,3.783,2193.703,2374.729,4.043,3,29,-15,5.04,1.85,7.01,0,16
76638,5,15.2,0.9,2.512,2.413,3.473,3.043,3.813,2213.958,2436.885,4.147,-3,28,-16,5.04,1.85,7.01,0,15
75754,5,15.2,0.9,2.479,2.388,3.408,3.028,3.788,2225.351,2742.224,5.37,8,28,-15,5.04,1.85,7.01,0,17
75647,5,15.2,0.9,2.493,2.393,3.524,3.038,3.781,2198.893,2246.998,4.625,0,31,-16,5.04,1.85,7.01,0,15
77799,5,15.2,0.9,2.522,2.423,3.466,3.057,3.785,2250.289,2711.842,4,9,31,-15,5.04,1.85,7.01,0,15
79421,6,15,0.9,2.623,2.611,3.525,3.144,4.039,2267.632,2761.845,3.896,-2,32,-15,5.04,1.85,7.01,0,15
76766,5,15,0.7,2.464,2.381,3.376,3.036,3.875,2210.793,2513.22,4.374,5,32,-15,5.04,1.85,7.01,0,15
77141,5,15.2,0.4,2.437,2.342,3.295,3.018,3.835,2219.148,1270.978,2.992,5,32,-15,5.04,1.85,7.01,0,17
80313,7,14.6,0.4,2.524,2.496,3.755,3.068,3.878,2466.001,2407.263,4.853,20,32,-11,5.04,1.85,7.01,0,22
78534,7,14.8,0.5,2.455,2.397,3.618,3.031,3.853,2143.573,1856.084,4.853,1,33,-16,5.04,1.85,7.01,0,19
77147,5,14.8,0.5,2.448,2.379,3.468,3.003,3.791,2248.517,2494.358,3.94,16,33,-11,5.04,1.85,7.01,0,20
77100,6,15,0.7,2.404,2.333,3.421,3.001,3.789,2196.994,2222.819,3.706,30,33,-7,5.04,1.85,7.01,0,20
